Link,Total_Clicks,Unique_Clicks,Net_CTR,Name,LinkPlacement,Date,PctUniqueClicks,PctTotalClicks,DeliverabilityRate,Job ID,Date/Time Sent,Status,Emails Sent,Unique Click-Through Rate,Open Rate,Deliverability Rate
https://usm.maine.edu/undergraduate,3,3,0.003,FY20 Adult App Gen - Email 02,4,NA,NA,NA,NA,673027,10/16/2019 18:01,Complete,1140,0.019,0.145,0.997
Unsubscribe,9,3,0.003,FY20 Adult App Gen - Email 02,5,NA,NA,NA,NA,673027,10/16/2019 18:01,Complete,1140,0.019,0.145,0.997
https://usm.maine.edu/visit#virtualtour,1,1,0.001,FY20 Adult App Gen - Email 02,6,NA,NA,NA,NA,673027,10/16/2019 18:01,Complete,1140,0.019,0.145,0.997
http://instagram.com/USouthernMaine,1,1,0.001,FY20 Adult App Gen - Email 02,7,NA,NA,NA,NA,673027,10/16/2019 18:01,Complete,1140,0.019,0.145,0.997
http://usm.maine.edu,1,1,0.001,FY20 Adult App Gen - Email 02,8,NA,NA,NA,NA,673027,10/16/2019 18:01,Complete,1140,0.019,0.145,0.997
https://facebook.com/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 02,9,NA,NA,NA,NA,673027,10/16/2019 18:01,Complete,1140,0.019,0.145,0.997
https://twitter.com/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 02,10,NA,NA,NA,NA,673027,10/16/2019 18:01,Complete,1140,0.019,0.145,0.997
https://instagram.com/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 02,11,NA,NA,NA,NA,673027,10/16/2019 18:01,Complete,1140,0.019,0.145,0.997
https://youtube.com/user/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 02,12,NA,NA,NA,NA,673027,10/16/2019 18:01,Complete,1140,0.019,0.145,0.997
https://www.linkedin.com/school/university-of-southern-maine,0,0,0,FY20 Adult App Gen - Email 02,13,NA,NA,NA,NA,673027,10/16/2019 18:01,Complete,1140,0.019,0.145,0.997
https://usm.maine.edu/degree-completion,0,0,0,FY20 Adult App Gen - Email 02,14,NA,NA,NA,NA,673027,10/16/2019 18:01,Complete,1140,0.019,0.145,0.997
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=fec612777664067a&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY20 Adult App Gen - Email 02,15,NA,NA,NA,NA,673027,10/16/2019 18:01,Complete,1140,0.019,0.145,0.997
http://facebook.com/USouthernMaine,0,0,0,FY20 Adult App Gen - Email 02,16,NA,NA,NA,NA,673027,10/16/2019 18:01,Complete,1140,0.019,0.145,0.997
http://twitter.com/USouthernMaine,0,0,0,FY20 Adult App Gen - Email 02,17,NA,NA,NA,NA,673027,10/16/2019 18:01,Complete,1140,0.019,0.145,0.997
http://view.e-usm.maine.edu/?j=fec612777664067a&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY20 Adult App Gen - Email 02,18,NA,NA,NA,NA,673027,10/16/2019 18:01,Complete,1140,0.019,0.145,0.997
http://view.e-usm.maine.edu/ftaf.aspx?j=fec612777664067a&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,0,0,0,FY20 Adult App Gen - Email 02,19,NA,NA,NA,NA,673027,10/16/2019 18:01,Complete,1140,0.019,0.145,0.997
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=fec612777664067a&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY20 Adult App Gen - Email 02,20,NA,NA,NA,NA,673027,10/16/2019 18:01,Complete,1140,0.019,0.145,0.997
http://youtube.com/user/USouthernMaine,0,0,0,FY20 Adult App Gen - Email 02,21,NA,NA,NA,NA,673027,10/16/2019 18:01,Complete,1140,0.019,0.145,0.997
http://linkedin.com/edu/school?id=18589,0,0,0,FY20 Adult App Gen - Email 02,22,NA,NA,NA,NA,673027,10/16/2019 18:01,Complete,1140,0.019,0.145,0.997
https://usm.maine.edu/apply,20,16,0.013,FY20 Adult App Gen - Email 04,1,NA,NA,NA,NA,757882,12/17/2019 18:01,Complete,1276,0.019,0.174,0.997
https://usm.maine.edu/office-of-admissions/video-job-preparation,3,3,0.002,FY20 Adult App Gen - Email 04,2,NA,NA,NA,NA,757882,12/17/2019 18:01,Complete,1276,0.019,0.174,0.997
Unsubscribe,4,2,0.002,FY20 Adult App Gen - Email 04,3,NA,NA,NA,NA,757882,12/17/2019 18:01,Complete,1276,0.019,0.174,0.997
http://usm.maine.edu/undergraduate,1,1,0.001,FY20 Adult App Gen - Email 04,4,NA,NA,NA,NA,757882,12/17/2019 18:01,Complete,1276,0.019,0.174,0.997
http://view.e-usm.maine.edu/?j=feba1375726c0c7f&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,1,1,0.001,FY20 Adult App Gen - Email 04,5,NA,NA,NA,NA,757882,12/17/2019 18:01,Complete,1276,0.019,0.174,0.997
https://usm.maine.edu/career-and-employment-hub/careers,1,1,0.001,FY20 Adult App Gen - Email 04,6,NA,NA,NA,NA,757882,12/17/2019 18:01,Complete,1276,0.019,0.174,0.997
https://www.facebook.com/USouthernMaine,4,1,0.001,FY20 Adult App Gen - Email 04,7,NA,NA,NA,NA,757882,12/17/2019 18:01,Complete,1276,0.019,0.174,0.997
https://usm.maine.edu/office-of-admissions/location-and-hours,1,1,0.001,FY20 Adult App Gen - Email 04,8,NA,NA,NA,NA,757882,12/17/2019 18:01,Complete,1276,0.019,0.174,0.997
https://facebook.com/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 04,9,NA,NA,NA,NA,757882,12/17/2019 18:01,Complete,1276,0.019,0.174,0.997
https://twitter.com/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 04,10,NA,NA,NA,NA,757882,12/17/2019 18:01,Complete,1276,0.019,0.174,0.997
https://instagram.com/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 04,11,NA,NA,NA,NA,757882,12/17/2019 18:01,Complete,1276,0.019,0.174,0.997
https://youtube.com/user/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 04,12,NA,NA,NA,NA,757882,12/17/2019 18:01,Complete,1276,0.019,0.174,0.997
https://usm.maine.edu/undergraduate,0,0,0,FY20 Adult App Gen - Email 04,13,NA,NA,NA,NA,757882,12/17/2019 18:01,Complete,1276,0.019,0.174,0.997
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=feba1375726c0c7f&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY20 Adult App Gen - Email 04,14,NA,NA,NA,NA,757882,12/17/2019 18:01,Complete,1276,0.019,0.174,0.997
http://view.e-usm.maine.edu/ftaf.aspx?j=feba1375726c0c7f&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,0,0,0,FY20 Adult App Gen - Email 04,15,NA,NA,NA,NA,757882,12/17/2019 18:01,Complete,1276,0.019,0.174,0.997
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=feba1375726c0c7f&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY20 Adult App Gen - Email 04,16,NA,NA,NA,NA,757882,12/17/2019 18:01,Complete,1276,0.019,0.174,0.997
https://twitter.com/USouthernMaine,0,0,0,FY20 Adult App Gen - Email 04,17,NA,NA,NA,NA,757882,12/17/2019 18:01,Complete,1276,0.019,0.174,0.997
https://www.instagram.com/USouthernMaine,0,0,0,FY20 Adult App Gen - Email 04,18,NA,NA,NA,NA,757882,12/17/2019 18:01,Complete,1276,0.019,0.174,0.997
https://www.youtube.com/user/USouthernMaine,0,0,0,FY20 Adult App Gen - Email 04,19,NA,NA,NA,NA,757882,12/17/2019 18:01,Complete,1276,0.019,0.174,0.997
https://www.linkedin.com/school/university-of-southern-maine,0,0,0,FY20 Adult App Gen - Email 04,20,NA,NA,NA,NA,757882,12/17/2019 18:01,Complete,1276,0.019,0.174,0.997
https://usm.maine.edu/research/community,0,0,0,FY20 Adult App Gen - Email 04,21,NA,NA,NA,NA,757882,12/17/2019 18:01,Complete,1276,0.019,0.174,0.997
https://usm.maine.edu/student-financial-services/fafsa-process-and-deadline,0,0,0,FY20 Adult App Gen - Email 04,22,NA,NA,NA,NA,757882,12/17/2019 18:01,Complete,1276,0.019,0.174,0.997
http://usm.maine.edu,0,0,0,FY20 Adult App Gen - Email 04,23,NA,NA,NA,NA,757882,12/17/2019 18:01,Complete,1276,0.019,0.174,0.997
https://usm.maine.edu/apply,11,10,0.008,FY20 Adult App Gen - Email 05,1,NA,NA,NA,NA,796520,01/14/2020 18:01,Complete,1320,0.021,0.185,0.992
Unsubscribe,14,6,0.005,FY20 Adult App Gen - Email 05,2,NA,NA,NA,NA,796520,01/14/2020 18:01,Complete,1320,0.021,0.185,0.992
http://usm.maine.edu,6,5,0.004,FY20 Adult App Gen - Email 05,3,NA,NA,NA,NA,796520,01/14/2020 18:01,Complete,1320,0.021,0.185,0.992
https://usm.maine.edu/office-of-admissions/location-and-hours,5,5,0.004,FY20 Adult App Gen - Email 05,4,NA,NA,NA,NA,796520,01/14/2020 18:01,Complete,1320,0.021,0.185,0.992
"https://usm.secure.force.com/events#/list?cid=%%ContactId%%&k=%%AccessKey%%&keyword=Adult+Student,Transfer+Student",3,3,0.002,FY20 Adult App Gen - Email 05,5,NA,NA,NA,NA,796520,01/14/2020 18:01,Complete,1320,0.021,0.185,0.992
https://usm.maine.edu/learningcommons/building-technology-skills,2,2,0.002,FY20 Adult App Gen - Email 05,6,NA,NA,NA,NA,796520,01/14/2020 18:01,Complete,1320,0.021,0.185,0.992
https://usm.maine.edu/student-financial-services/fafsa-process-and-deadline,2,2,0.002,FY20 Adult App Gen - Email 05,7,NA,NA,NA,NA,796520,01/14/2020 18:01,Complete,1320,0.021,0.185,0.992
http://view.e-usm.maine.edu/?j=fec213797361067d&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,2,2,0.002,FY20 Adult App Gen - Email 05,8,NA,NA,NA,NA,796520,01/14/2020 18:01,Complete,1320,0.021,0.185,0.992
https://www.youtube.com/user/USouthernMaine,1,1,0.001,FY20 Adult App Gen - Email 05,9,NA,NA,NA,NA,796520,01/14/2020 18:01,Complete,1320,0.021,0.185,0.992
https://www.linkedin.com/school/university-of-southern-maine,1,1,0.001,FY20 Adult App Gen - Email 05,10,NA,NA,NA,NA,796520,01/14/2020 18:01,Complete,1320,0.021,0.185,0.992
http://usm.maine.edu/undergraduate,1,1,0.001,FY20 Adult App Gen - Email 05,11,NA,NA,NA,NA,796520,01/14/2020 18:01,Complete,1320,0.021,0.185,0.992
https://www.bls.gov/careeroutlook/2018/data-on-display/education-pays.htm,1,1,0.001,FY20 Adult App Gen - Email 05,12,NA,NA,NA,NA,796520,01/14/2020 18:01,Complete,1320,0.021,0.185,0.992
https://facebook.com/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 05,13,NA,NA,NA,NA,796520,01/14/2020 18:01,Complete,1320,0.021,0.185,0.992
https://twitter.com/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 05,14,NA,NA,NA,NA,796520,01/14/2020 18:01,Complete,1320,0.021,0.185,0.992
https://instagram.com/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 05,15,NA,NA,NA,NA,796520,01/14/2020 18:01,Complete,1320,0.021,0.185,0.992
https://youtube.com/user/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 05,16,NA,NA,NA,NA,796520,01/14/2020 18:01,Complete,1320,0.021,0.185,0.992
https://usm.maine.edu/undergraduate,0,0,0,FY20 Adult App Gen - Email 05,17,NA,NA,NA,NA,796520,01/14/2020 18:01,Complete,1320,0.021,0.185,0.992
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=fec213797361067d&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY20 Adult App Gen - Email 05,18,NA,NA,NA,NA,796520,01/14/2020 18:01,Complete,1320,0.021,0.185,0.992
http://view.e-usm.maine.edu/ftaf.aspx?j=fec213797361067d&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,0,0,0,FY20 Adult App Gen - Email 05,19,NA,NA,NA,NA,796520,01/14/2020 18:01,Complete,1320,0.021,0.185,0.992
