Link,UniqueClicks,PctUniqClicks,TotalClicks,PctTotal Clicks,NetCTR,EmailNumber,LinkPlacement,Date
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=fecc13727664017f&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0.00%,0,0.00%,0.00%,Email8BB,Email8BB Link_Number 17,11/21/2019
http://view.e-usm.maine.edu/ftaf.aspx?j=fecc13727664017f&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,0,0.00%,0,0.00%,0.00%,Email8BB,Email8BB Link_Number 18,11/21/2019
https://facebook.com/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email8BB,Email8BB Link_Number 19,11/21/2019
https://instagram.com/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email8BB,Email8BB Link_Number 20,11/21/2019
https://twitter.com/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email8BB,Email8BB Link_Number 21,11/21/2019
https://www.linkedin.com/school/university-of-southern-maine,0,0.00%,0,0.00%,0.00%,Email8BB,Email8BB Link_Number 22,11/21/2019
https://youtube.com/user/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email8BB,Email8BB Link_Number 23,11/21/2019
Totals,536,,663,,,Email8BB,Email8BB Link_Number 24,11/21/2019
,NA,,NA,,,Email8BB,Email8BB Link_Number 25,11/21/2019
https://usm.maine.edu/student-financial-services/fafsa-process-and-deadline,138,14.44%,143,12.68%,1.69%,Email9,Email9 Link_Number 1,12/04/2019
https://usm.maine.edu/scholarships,123,12.87%,123,10.90%,1.51%,Email9,Email9 Link_Number 2,12/04/2019
https://usm.maine.edu/apply,121,12.66%,131,11.61%,1.48%,Email9,Email9 Link_Number 3,12/04/2019
http://usm.maine.edu,121,12.66%,128,11.35%,1.48%,Email9,Email9 Link_Number 4,12/04/2019
https://usm.maine.edu/office-of-admissions/video-financial-aid-and-affordability,117,12.24%,117,10.37%,1.43%,Email9,Email9 Link_Number 5,12/04/2019
http://twitter.com/USouthernMaine,63,6.59%,125,11.08%,0.77%,Email9,Email9 Link_Number 6,12/04/2019
