Link,Total,Unique,Net CTRs,Email Name
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=feb91c737c630c7e&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY20 Adult App Gen - Email 06
https://www.facebook.com/USouthernMaine,0,0,0,FY20 Adult App Gen - Email 06
https://twitter.com/USouthernMaine,0,0,0,FY20 Adult App Gen - Email 06
https://www.instagram.com/USouthernMaine,0,0,0,FY20 Adult App Gen - Email 06
https://www.youtube.com/user/USouthernMaine,0,0,0,FY20 Adult App Gen - Email 06
https://www.linkedin.com/school/university-of-southern-maine,0,0,0,FY20 Adult App Gen - Email 06
https://usm.maine.edu/apply,12,11,0.009,FY20 Adult App Gen - Email 07
Unsubscribe,11,5,0.004,FY20 Adult App Gen - Email 07
https://usm.maine.edu/career-and-employment-hub,3,2,0.002,FY20 Adult App Gen - Email 07
http://usm.maine.edu,1,1,0.001,FY20 Adult App Gen - Email 07
https://usm.secure.force.com/events#/list?cid=%%ContactId%%&k=%%AccessKey%%&type=Adult+and+Transfer+Students,1,1,0.001,FY20 Adult App Gen - Email 07
https://usm.maine.edu/office-of-admissions/location-and-hours,1,1,0.001,FY20 Adult App Gen - Email 07
https://usm.maine.edu/visit#virtualtour,1,1,0.001,FY20 Adult App Gen - Email 07
https://usm.maine.edu/undergraduate,0,0,0,FY20 Adult App Gen - Email 07
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=febe1c787d66007e&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY20 Adult App Gen - Email 07
https://www.foundation.usm.maine.edu/s/300/bp19/interior.aspx?sid=300&gid=1001&pgid=1969,0,0,0,FY20 Adult App Gen - Email 07
https://usm.maine.edu/prior-learning-assessment/overview,0,0,0,FY20 Adult App Gen - Email 07
https://usm.maine.edu/career-and-employment-hub/internships,0,0,0,FY20 Adult App Gen - Email 07
https://www.facebook.com/USouthernMaine,0,0,0,FY20 Adult App Gen - Email 07
https://twitter.com/USouthernMaine,0,0,0,FY20 Adult App Gen - Email 07
https://www.instagram.com/USouthernMaine,0,0,0,FY20 Adult App Gen - Email 07
https://www.youtube.com/user/USouthernMaine,0,0,0,FY20 Adult App Gen - Email 07
https://www.linkedin.com/school/university-of-southern-maine,0,0,0,FY20 Adult App Gen - Email 07
http://usm.maine.edu/undergraduate,0,0,0,FY20 Adult App Gen - Email 07
http://view.e-usm.maine.edu/?j=febe1c787d66007e&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY20 Adult App Gen - Email 07
http://view.e-usm.maine.edu/ftaf.aspx?j=febe1c787d66007e&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,0,0,0,FY20 Adult App Gen - Email 07
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=febe1c787d66007e&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY20 Adult App Gen - Email 07
https://usm.maine.edu/apply,8,8,0.005,FY19 Adult App Gen - Email 07 (Community Connections)
https://usm.maine.edu/career-and-employment-hub/careers,2,2,0.001,FY19 Adult App Gen - Email 07 (Community Connections)
https://facebook.com/USouthernMaine,1,1,0.001,FY19 Adult App Gen - Email 07 (Community Connections)
https://twitter.com/USouthernMaine,1,1,0.001,FY19 Adult App Gen - Email 07 (Community Connections)
https://instagram.com/USouthernMaine,2,1,0.001,FY19 Adult App Gen - Email 07 (Community Connections)
